trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.9, 'e': 0.9588496310845509}",30,-100,-689.3980998504131,"{0: 72, 1: 16, 2: 30, 3: 4, 4: 8}",0
43,False,"{'a': 0.9, 'e': 0.9578907814534663}",25,-48,-312.0037028289817,"{0: 47, 1: 8, 2: 12, 3: 1, 4: 5}",0
44,False,"{'a': 0.9, 'e': 0.9569328906720129}",20,-100,-597.1666978076653,"{0: 68, 1: 10, 2: 31, 3: 5, 4: 6}",0
45,False,"{'a': 0.9, 'e': 0.9559759577813408}",25,15,-72.06399768639164,"{0: 6, 1: 0, 2: 2, 3: 1, 4: 1}",1
46,False,"{'a': 0.9, 'e': 0.9550199818235595}",30,-3,-174.8151642617016,"{0: 18, 1: 4, 2: 8, 3: 1, 4: 2}",0
47,False,"{'a': 0.9, 'e': 0.954064961841736}",20,-100,-383.7962549434756,"{0: 85, 1: 6, 2: 22, 3: 1, 4: 6}",0
48,False,"{'a': 0.9, 'e': 0.9531108968798943}",20,-100,-551.9525684454794,"{0: 78, 1: 11, 2: 15, 3: 9, 4: 7}",0
49,False,"{'a': 0.9, 'e': 0.9521577859830144}",30,-49,-294.20859065513383,"{0: 54, 1: 3, 2: 17, 3: 1, 4: 4}",0
50,False,"{'a': 0.9, 'e': 0.9512056281970314}",20,1,-154.41744891627363,"{0: 10, 1: 0, 2: 5, 3: 2, 4: 2}",1
51,False,"{'a': 0.9, 'e': 0.9502544225688343}",25,-100,-799.9952297657608,"{0: 70, 1: 11, 2: 23, 3: 11, 4: 10}",0
52,False,"{'a': 0.9, 'e': 0.9493041681462654}",20,-22,-179.0087440159931,"{0: 27, 1: 3, 2: 7, 3: 3, 4: 2}",0
53,False,"{'a': 0.9, 'e': 0.9483548639781192}",30,-20,-146.68826828799072,"{0: 32, 1: 5, 2: 11, 3: 1, 4: 1}",0
54,False,"{'a': 0.9, 'e': 0.947406509114141}",30,18,-5.843856888605696,"{0: 9, 1: 2, 2: 1, 3: 0, 4: 0}",1
55,False,"{'a': 0.9, 'e': 0.9464591026050269}",20,-100,-602.137982223012,"{0: 71, 1: 8, 2: 30, 3: 3, 4: 8}",0
56,False,"{'a': 0.9, 'e': 0.9455126435024219}",20,9,-28.405845113863943,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
57,False,"{'a': 0.9, 'e': 0.9445671308589194}",20,-100,-712.5627806209957,"{0: 74, 1: 10, 2: 21, 3: 2, 4: 13}",0
58,False,"{'a': 0.9, 'e': 0.9436225637280605}",20,-15,-112.35056958933669,"{0: 24, 1: 4, 2: 5, 3: 0, 4: 2}",0
59,False,"{'a': 0.9, 'e': 0.9426789411643325}",20,-60,-296.05058740064044,"{0: 55, 1: 7, 2: 11, 3: 2, 4: 5}",0
60,False,"{'a': 0.9, 'e': 0.9417362622231682}",25,18,0.4928255667430457,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
61,False,"{'a': 0.9, 'e': 0.9407945259609449}",20,-21,-131.90141212258865,"{0: 28, 1: 2, 2: 8, 3: 2, 4: 1}",0
62,False,"{'a': 0.9, 'e': 0.9398537314349841}",20,-72,-346.41516890955864,"{0: 58, 1: 12, 2: 16, 3: 2, 4: 4}",0
63,False,"{'a': 0.9, 'e': 0.9389138777035491}",25,-26,-290.75805427987655,"{0: 29, 1: 6, 2: 10, 3: 2, 4: 4}",0
64,False,"{'a': 0.9, 'e': 0.9379749638258454}",30,-14,-307.55922423607865,"{0: 25, 1: 5, 2: 6, 3: 3, 4: 5}",0
65,False,"{'a': 0.9, 'e': 0.9370369888620197}",20,-51,-381.93512829275187,"{0: 43, 1: 8, 2: 11, 3: 3, 4: 6}",0
66,False,"{'a': 0.9, 'e': 0.9360999518731576}",25,-100,-479.2061508856871,"{0: 81, 1: 13, 2: 23, 3: 1, 4: 7}",0
67,False,"{'a': 0.9, 'e': 0.9351638519212845}",25,-87,-434.4603756652686,"{0: 74, 1: 13, 2: 17, 3: 1, 4: 7}",0
